split,document_id,entity_id,surface,old_type,new_type,confidence,reason,guideline_basis,decision_status,reviewer,review_comment,reviewed_at
test,20336011161101050428003_13_part_0_,T10,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
test,31228011024401437389022_2_part_0_,T90,стимулирование,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31228011024401437389022_2_part_1_,T569,улучшение,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
test,31339011024501525289014_6_part_0_,T337,ремонт,BIN,ACT,HIGH,"Мера, мероприятие или продолжаемая деятельность.","Инструкция RuREBus, стр. 4: ACT — меры и мероприятия; ремонт приведен как пример ACT.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011025602445527012_16_part_0_,T238,модернизации,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011027002952877002_3_part_0_,T163,низкий,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011027002952877002_3_part_2_,T253,населения,MET,SOC,HIGH,Социальный объект или социальная сфера.,"Инструкция RuREBus, стр. 5: SOC — социальный объект.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011027002952877002_3_part_2_,T260,низкий,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011027002952877010_7_part_0_,T181,совершенствование,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011034587000689004_11_part_0,T94,совершенствования,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061674001290010_6_part_0_,T155,повышение,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061685002510004_3_part_0,T12,устойчивое,BIN,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061685002510004_3_part_1,T61,Достижение,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061685002510004_3_part_1,T113,содействие,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061685002510004_3_part_2,T120,совершенствование,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339011061685002510004_3_part_2,T126,показателей,ACT,MET,HIGH,"Показатель или объект, над которым задано сравнение.","Инструкция RuREBus, стр. 1: MET — численный показатель/объект сравнения.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_0,T40,модернизации,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_0,T67,совершенствование,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_0,T230,населения,ECO,SOC,HIGH,Социальный объект или социальная сфера.,"Инструкция RuREBus, стр. 5: SOC — социальный объект.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_0,T282,экономики,SOC,ECO,HIGH,"Экономическая сущность/финансовый ресурс, не являющийся показателем.","Инструкция RuREBus, стр. 2: ECO — экономическая сущность или объект инфраструктуры; бюджетное финансирование дано как пример.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_1,T125,содействие,CMP,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_1,T133,формирование,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
test,31339221023601033818162_13_part_1,T146,модернизации,ACT,BIN,HIGH,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_0,T236,благоприятных,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_2,T829,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20103011022200910379001_0_part_2,T970,высокой,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_3,T499,экономики,MET,ECO,HIGH,"Экономическая сущность/финансовый ресурс, не являющийся показателем.","Инструкция RuREBus, стр. 2: ECO — экономическая сущность или объект инфраструктуры; бюджетное финансирование дано как пример.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_3,T518,экономики,MET,ECO,HIGH,"Экономическая сущность/финансовый ресурс, не являющийся показателем.","Инструкция RuREBus, стр. 2: ECO — экономическая сущность или объект инфраструктуры; бюджетное финансирование дано как пример.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_4,T134,населения,MET,SOC,HIGH,Социальный объект или социальная сфера.,"Инструкция RuREBus, стр. 5: SOC — социальный объект.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_5,T309,совершенствования,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20103011022200910379001_0_part_5,T1096,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_0,T247,улучшение,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T31,высокая,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T412,привлечение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T480,укрепление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T806,внедрение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T830,внедрение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T933,проведение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T1144,внедрение,ACT,BIN,MEDIUM,"Одноразовое действие/факт, а не мероприятие или направленное сравнение.","Инструкция RuREBus, стр. 2–3: BIN — одноразовое действие/бинарная характеристика.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
train,20336011022200910379002_6_part_1,T1306,Низкий,CMP,QUA,HIGH,Качественная характеристика.,"Инструкция RuREBus, стр. 4: QUA — качественная характеристика.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T1357,Расширение,BIN,CMP,HIGH,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",ACCEPTED,codex_guideline_review,Тип подтвержден определением или прямым примером из инструкции RuREBus.,2026-08-23
train,20336011022200910379002_6_part_1,T1373,Усиление,BIN,CMP,MEDIUM,Направленное изменение или сравнительная характеристика.,"Инструкция RuREBus, стр. 3: CMP — сравнительная характеристика; примеры повышение, увеличение, совершенствование, расширение.",REVIEW_REQUIRED,,Требуется ручная проверка полного контекста и отношения: роль может зависеть от употребления.,
